disease,symptom_1,symptom_2,symptom_3,symptom_4
Malaria,muscle pain,headache,fever,
Typhoid,rash,stomach pain,weakness,diarrhea
Viral Fever,mild cough,chills,,fever
Acid Peptic Disease,indigestion,vomiting,loss of appetite,stomach pain
Typhoid,weakness,headache,,diarrhea
COVID-19,muscle pain,cough,loss of taste,loss of smell
Diabetes,fatigue,increased thirst,unexplained weight loss,
Malaria,,vomiting,sweating,
Common Cold,congestion,headache,cough,fatigue
Diabetes,blurred vision,increased thirst,extreme hunger,
Hypertension,,dizziness,headache,blurred vision
COVID-19,cough,,loss of taste,fever
Allergy,shortness of breath,cough,,sneezing
Acid Peptic Disease,loss of appetite,vomiting,,heartburn
Acid Peptic Disease,,stomach pain,,vomiting
Viral Fever,body ache,sweating,fatigue,
COVID-19,fatigue,,difficulty breathing,muscle pain
Asthma,wheezing,cough,chest pain,difficulty breathing
Diabetes,,unexplained weight loss,frequent urination,increased thirst
Hypertension,difficulty breathing,blurred vision,nosebleeds,chest pain
COVID-19,,loss of smell,muscle pain,
COVID-19,fatigue,cough,loss of taste,difficulty breathing
Anemia,headache,cold hands and feet,,dizziness
Dengue,rash,vomiting,high fever,nausea
Typhoid,headache,loss of appetite,,high fever
Migraine,headache,,vomiting,nausea
Diabetes,frequent urination,,extreme hunger,increased thirst
Malaria,headache,fever,chills,
Anemia,fatigue,,headache,weakness
COVID-19,,difficulty breathing,fever,cough
Gastroenteritis,vomiting,,fever,
Pneumonia,,,fever,cough
Pneumonia,fever,cough,,sweating
Acid Peptic Disease,heartburn,indigestion,sweating,nausea
Diabetes,frequent urination,blurred vision,unexplained weight loss,
Acid Peptic Disease,vomiting,nausea,heartburn,indigestion
Hypertension,,nosebleeds,dizziness,blurred vision
Dengue,nausea,rash,unexplained weight loss,severe headache
Malaria,fever,vomiting,,
Migraine,,nausea,sensitivity to sound,
Diabetes,frequent urination,,extreme hunger,
Dengue,vomiting,high fever,,rash
Malaria,muscle pain,,,vomiting
Malaria,nausea,sweating,vomiting,headache
Asthma,fatigue,difficulty breathing,wheezing,
Viral Fever,sweating,headache,cold hands and feet,fatigue
Malaria,nausea,sweating,,
COVID-19,fatigue,muscle pain,,
Allergy,cough,sneezing,,
Migraine,sensitivity to light,sensitivity to sound,headache,blurred vision
Migraine,sensitivity to light,nausea,headache,vomiting
Pneumonia,chills,,cough,
Diabetes,,unexplained weight loss,frequent urination,
Asthma,,wheezing,shortness of breath,difficulty breathing
Allergy,rash,itchy eyes,loss of appetite,
Common Cold,sore throat,,,headache
Common Cold,sore throat,,,cough
Diabetes,,extreme hunger,cough,increased thirst
Migraine,blurred vision,headache,sensitivity to sound,vomiting
Common Cold,sore throat,,congestion,sneezing
Viral Fever,,fatigue,fever,mild cough
Typhoid,diarrhea,,stomach pain,
Asthma,cough,,chest pain,wheezing
Malaria,vomiting,fever,,nausea
Allergy,,itchy eyes,,sneezing
Dengue,severe headache,muscle pain,joint pain,rash
Anemia,pale skin,chest pain,weakness,dizziness
Diabetes,fatigue,increased thirst,blurred vision,frequent urination
Migraine,dizziness,,,sensitivity to light
Asthma,,cough,fatigue,shortness of breath
Allergy,pale skin,cough,,itchy eyes
Common Cold,sneezing,congestion,cough,headache
Malaria,,headache,chills,
Hypertension,,,dizziness,shortness of breath
Typhoid,stomach pain,loss of appetite,diarrhea,high fever
Acid Peptic Disease,vomiting,,,stomach pain
Asthma,cough,wheezing,,
Allergy,,,rash,runny nose
Common Cold,sore throat,fatigue,runny nose,headache
Acid Peptic Disease,,nausea,,indigestion
Hypertension,,nosebleeds,chest pain,shortness of breath
Viral Fever,,fever,body ache,
Allergy,,runny nose,sneezing,cough
Acid Peptic Disease,stomach pain,,heartburn,
Dengue,high fever,rash,severe headache,joint pain
Migraine,sensitivity to sound,headache,vomiting,nausea
Migraine,nausea,vomiting,blurred vision,dizziness
Migraine,,blurred vision,,dizziness
Asthma,shortness of breath,,chest pain,
Migraine,sensitivity to light,headache,,blurred vision
Typhoid,,rash,high fever,
Allergy,shortness of breath,,cough,
Hypertension,blurred vision,,headache,chest pain
Malaria,muscle pain,chills,headache,nausea
Acid Peptic Disease,nausea,vomiting,stomach pain,indigestion
Diabetes,extreme hunger,frequent urination,unexplained weight loss,blurred vision
Anemia,fatigue,weakness,pale skin,headache
Diabetes,blurred vision,fatigue,unexplained weight loss,extreme hunger
Allergy,sneezing,runny nose,,
Acid Peptic Disease,,,stomach pain,loss of appetite
Common Cold,,,runny nose,headache
Gastroenteritis,,diarrhea,fever,stomach pain
Acid Peptic Disease,stomach pain,indigestion,,loss of appetite
Gastroenteritis,headache,fever,nausea,
Asthma,difficulty breathing,wheezing,,
Viral Fever,,,fatigue,sweating
Pneumonia,difficulty breathing,cough,fatigue,sweating
Pneumonia,sweating,,,chills
Typhoid,high fever,,loss of appetite,rash
Allergy,rash,shortness of breath,itchy eyes,
Malaria,muscle pain,headache,vomiting,fever
Acid Peptic Disease,nausea,indigestion,stomach pain,
Malaria,,headache,muscle pain,vomiting
Pneumonia,chills,,difficulty breathing,fever
Common Cold,fatigue,cough,sneezing,sore throat
Hypertension,shortness of breath,nosebleeds,chest pain,blurred vision
Anemia,cold hands and feet,,fatigue,chest pain
Asthma,,fatigue,,chest pain
COVID-19,loss of taste,,difficulty breathing,
COVID-19,,cough,fever,
Viral Fever,body ache,sweating,fatigue,fever
Viral Fever,headache,body ache,sweating,fatigue
Viral Fever,chills,,headache,
Pneumonia,cough,fatigue,difficulty breathing,sweating
Diabetes,,extreme hunger,unexplained weight loss,blurred vision
Pneumonia,cough,chest pain,fatigue,fever
Anemia,,cold hands and feet,dizziness,difficulty breathing
Migraine,nausea,sensitivity to light,blurred vision,headache
Common Cold,sneezing,,,runny nose
Migraine,headache,sensitivity to sound,sensitivity to light,dizziness
Allergy,rash,cough,itchy eyes,runny nose
Asthma,difficulty breathing,cough,,
Diabetes,increased thirst,frequent urination,extreme hunger,
COVID-19,fatigue,cough,fever,muscle pain
Migraine,dizziness,vomiting,blurred vision,headache
Malaria,chills,fever,sweating,headache
Malaria,nausea,,,vomiting
Migraine,vomiting,dizziness,sensitivity to sound,sensitivity to light
Gastroenteritis,vomiting,stomach pain,muscle ache,nausea
COVID-19,loss of smell,difficulty breathing,,fatigue
Diabetes,increased thirst,extreme hunger,unexplained weight loss,fatigue
Anemia,fatigue,pale skin,,
Diabetes,,extreme hunger,fatigue,frequent urination
Migraine,sensitivity to sound,nausea,blurred vision,vomiting
Migraine,vomiting,nausea,headache,blurred vision
Common Cold,,,congestion,sore throat
COVID-19,,,cough,muscle pain
COVID-19,cough,loss of taste,fever,difficulty breathing
Asthma,chest pain,wheezing,difficulty breathing,fatigue
Migraine,blurred vision,dizziness,,sensitivity to sound
Typhoid,rash,stomach pain,weakness,diarrhea
Asthma,wheezing,difficulty breathing,fatigue,chest pain
Malaria,chills,fever,nausea,vomiting
Asthma,wheezing,difficulty breathing,chest pain,fatigue
Dengue,,severe headache,joint pain,high fever
Pneumonia,cough,,difficulty breathing,
Typhoid,,loss of appetite,stomach pain,
Anemia,dizziness,,cold hands and feet,shortness of breath
Asthma,,wheezing,cough,
Dengue,,muscle pain,vomiting,
Asthma,cough,,fatigue,wheezing
COVID-19,cough,,muscle pain,
Diabetes,frequent urination,,,unexplained weight loss
Typhoid,diarrhea,high fever,loss of appetite,stomach pain
Migraine,,nausea,blurred vision,dizziness
Gastroenteritis,vomiting,,,nausea
Dengue,muscle pain,vomiting,high fever,nausea
Asthma,cough,,chest pain,
Hypertension,blurred vision,chest pain,headache,shortness of breath
Asthma,,chest pain,,shortness of breath
Pneumonia,chest pain,chills,fever,difficulty breathing
Allergy,shortness of breath,nausea,sneezing,
COVID-19,fever,loss of taste,loss of smell,cough
Asthma,shortness of breath,difficulty breathing,,fatigue
Typhoid,loss of appetite,high fever,headache,
Typhoid,headache,,stomach pain,
Hypertension,,chest pain,,dizziness
Diabetes,extreme hunger,fatigue,,blurred vision
Viral Fever,chills,body ache,mild cough,fatigue
Common Cold,congestion,,runny nose,
Typhoid,high fever,rash,stomach pain,
Allergy,,shortness of breath,cough,rash
Pneumonia,fatigue,chills,chest pain,sweating
Allergy,sore throat,shortness of breath,rash,cough
COVID-19,cough,loss of smell,fatigue,fever
Gastroenteritis,nausea,vomiting,diarrhea,stomach pain
Allergy,shortness of breath,sneezing,runny nose,itchy eyes
Anemia,fatigue,chest pain,cold hands and feet,headache
Anemia,pale skin,weakness,,fatigue
COVID-19,difficulty breathing,loss of taste,muscle pain,fatigue
Dengue,high fever,rash,nausea,vomiting
Dengue,nausea,joint pain,,rash
Viral Fever,headache,fatigue,,fever
Acid Peptic Disease,loss of appetite,nausea,indigestion,vomiting
Malaria,headache,nausea,,chills
Dengue,nausea,high fever,rash,joint pain
Asthma,shortness of breath,wheezing,cough,
Asthma,shortness of breath,fatigue,difficulty breathing,chest pain
Asthma,chest pain,shortness of breath,,cough
Diabetes,,extreme hunger,increased thirst,frequent urination
Dengue,joint pain,high fever,vomiting,nausea
Common Cold,runny nose,cough,fatigue,sore throat
Typhoid,,,loss of appetite,high fever
Hypertension,chest pain,shortness of breath,headache,dizziness
Typhoid,stomach pain,diarrhea,headache,high fever
Dengue,,nausea,muscle pain,joint pain
Typhoid,,rash,stomach pain,weakness
Common Cold,fatigue,,headache,
Migraine,,,sensitivity to sound,vomiting
Diabetes,unexplained weight loss,extreme hunger,blurred vision,frequent urination
Typhoid,weakness,loss of appetite,,
Hypertension,,wheezing,blurred vision,nosebleeds
Common Cold,,runny nose,,fatigue
Allergy,itchy eyes,,,sneezing
Pneumonia,fever,sweating,cough,chills
Viral Fever,sweating,fatigue,,
Acid Peptic Disease,nosebleeds,heartburn,loss of appetite,stomach pain
Migraine,,vomiting,blurred vision,headache
Pneumonia,,fatigue,fever,
Diabetes,unexplained weight loss,blurred vision,,
Asthma,shortness of breath,wheezing,chest pain,cough
Anemia,,,pale skin,cold hands and feet
Gastroenteritis,,,headache,vomiting
Asthma,,difficulty breathing,congestion,chest pain
Anemia,pale skin,cold hands and feet,fatigue,dizziness
Pneumonia,,,chest pain,chills
Migraine,nausea,,blurred vision,sensitivity to sound
Migraine,nausea,,heartburn,sensitivity to sound
Pneumonia,fever,fatigue,difficulty breathing,chills
Anemia,chest pain,cold hands and feet,weakness,headache
Hypertension,headache,blurred vision,nosebleeds,shortness of breath
COVID-19,difficulty breathing,nausea,fatigue,
Diabetes,frequent urination,extreme hunger,fatigue,blurred vision
Pneumonia,,fever,,sweating
Anemia,chest pain,fatigue,cold hands and feet,weakness
Acid Peptic Disease,indigestion,heartburn,nausea,stomach pain
Dengue,,muscle pain,rash,
Acid Peptic Disease,indigestion,vomiting,loss of appetite,heartburn
Asthma,difficulty breathing,,fatigue,
Viral Fever,mild cough,fever,body ache,
Hypertension,blurred vision,nosebleeds,dizziness,headache
Common Cold,runny nose,cough,headache,fatigue
Gastroenteritis,vomiting,muscle ache,nausea,headache
Malaria,headache,fever,,
Hypertension,,blurred vision,headache,
Migraine,headache,sensitivity to sound,nausea,dizziness
Typhoid,,headache,high fever,rash
Dengue,high fever,vomiting,nausea,joint pain
Allergy,shortness of breath,,runny nose,cough
Gastroenteritis,,vomiting,,headache
Allergy,runny nose,itchy eyes,rash,cough
COVID-19,fever,muscle pain,,difficulty breathing
Migraine,nausea,sensitivity to light,,
Viral Fever,sweating,,,fever
Dengue,severe headache,nausea,muscle pain,
Diabetes,,blurred vision,fatigue,
Acid Peptic Disease,,,vomiting,heartburn
Hypertension,,,nosebleeds,shortness of breath
Migraine,nausea,dizziness,unexplained weight loss,sensitivity to light
Malaria,fever,chills,muscle pain,heartburn
Hypertension,,headache,,blurred vision
Typhoid,,,high fever,loss of appetite
Typhoid,weakness,,rash,high fever
Pneumonia,fever,cough,,
Dengue,rash,,,nausea
Pneumonia,difficulty breathing,fever,,chills
Allergy,cough,shortness of breath,sneezing,muscle pain
Common Cold,sore throat,fatigue,headache,sneezing
Migraine,sensitivity to light,vomiting,dizziness,nausea
Hypertension,chest pain,blurred vision,headache,dizziness
Pneumonia,difficulty breathing,,fever,chest pain
Migraine,sensitivity to light,dizziness,sensitivity to sound,nausea
Hypertension,shortness of breath,chest pain,,dizziness
Gastroenteritis,,,fever,diarrhea
Gastroenteritis,headache,fever,muscle ache,diarrhea
Viral Fever,mild cough,fever,body ache,fatigue
Asthma,wheezing,cough,shortness of breath,difficulty breathing
Gastroenteritis,stomach pain,fever,headache,muscle ache
Acid Peptic Disease,,stomach pain,,loss of appetite
Allergy,severe headache,,runny nose,rash
Acid Peptic Disease,vomiting,heartburn,nausea,indigestion
Acid Peptic Disease,vomiting,indigestion,loss of appetite,
Anemia,,headache,pale skin,chest pain
Diabetes,blurred vision,fatigue,increased thirst,frequent urination
Pneumonia,chest pain,chills,sweating,fever
Asthma,,,cough,fatigue
Anemia,,weakness,headache,pale skin
Dengue,high fever,,joint pain,severe headache
COVID-19,,cough,loss of taste,
Malaria,,,muscle pain,chills
Acid Peptic Disease,,vomiting,stomach pain,
Allergy,shortness of breath,itchy eyes,,
Gastroenteritis,headache,fever,,muscle ache
Migraine,vomiting,sensitivity to sound,nausea,
Migraine,,,dizziness,sensitivity to sound
Acid Peptic Disease,nausea,,indigestion,stomach pain
Pneumonia,sweating,,fever,
Hypertension,blurred vision,headache,,loss of smell
COVID-19,fever,muscle pain,,loss of smell
Anemia,dizziness,,cold hands and feet,weakness
Viral Fever,body ache,,,fever
COVID-19,difficulty breathing,loss of smell,cough,fever
Acid Peptic Disease,stomach pain,,loss of appetite,
Gastroenteritis,muscle ache,stomach pain,,
Malaria,,headache,,chills
Pneumonia,cough,difficulty breathing,sweating,
Asthma,wheezing,,chest pain,
Common Cold,runny nose,sneezing,congestion,fatigue
Typhoid,stomach pain,headache,loss of appetite,weakness
Anemia,fatigue,pale skin,,
Diabetes,extreme hunger,,nosebleeds,frequent urination
Anemia,pale skin,chest pain,,
Migraine,sensitivity to light,,,headache
Viral Fever,chills,fatigue,,headache
Gastroenteritis,vomiting,diarrhea,fever,muscle ache
Migraine,sensitivity to sound,vomiting,sensitivity to light,dizziness
Diabetes,increased thirst,extreme hunger,fatigue,frequent urination
Allergy,shortness of breath,sneezing,,
Viral Fever,body ache,,fatigue,fever
Common Cold,headache,,,cough
Diabetes,extreme hunger,,blurred vision,increased thirst
Migraine,blurred vision,sensitivity to sound,nausea,headache
Diabetes,,frequent urination,,extreme hunger
Diabetes,unexplained weight loss,frequent urination,,
Dengue,,vomiting,rash,muscle pain
Viral Fever,body ache,,fever,headache
Migraine,vomiting,headache,dizziness,sensitivity to light
Acid Peptic Disease,indigestion,,vomiting,stomach pain
Malaria,nausea,headache,fever,muscle pain
Dengue,rash,vomiting,nausea,muscle pain
Dengue,,joint pain,,muscle pain
Migraine,blurred vision,sensitivity to light,sensitivity to sound,nausea
Pneumonia,fatigue,fever,cough,
Acid Peptic Disease,loss of appetite,,,stomach pain
Malaria,sweating,,headache,muscle pain
Typhoid,weakness,stomach pain,rash,headache
Migraine,sensitivity to light,nausea,,vomiting
Dengue,high fever,,severe headache,vomiting
Dengue,high fever,severe headache,vomiting,
Hypertension,nosebleeds,,dizziness,blurred vision
Malaria,vomiting,,fever,chills
Gastroenteritis,muscle ache,stomach pain,,
Migraine,vomiting,headache,blurred vision,nausea
Acid Peptic Disease,vomiting,indigestion,stomach pain,nausea
Viral Fever,body ache,sweating,fever,
Allergy,,runny nose,,sneezing
Diabetes,blurred vision,extreme hunger,increased thirst,fatigue
Diabetes,,,fatigue,frequent urination
Common Cold,fatigue,,congestion,
Migraine,,sensitivity to light,vomiting,
Common Cold,congestion,sneezing,runny nose,sore throat
Migraine,sensitivity to sound,,vomiting,
Pneumonia,,fever,chest pain,
Migraine,blurred vision,sensitivity to light,sensitivity to sound,
Malaria,vomiting,headache,,
Allergy,rash,itchy eyes,shortness of breath,cough
Malaria,nausea,vomiting,sweating,fever
Gastroenteritis,nausea,muscle ache,vomiting,
Typhoid,headache,diarrhea,weakness,rash
Diabetes,fatigue,,extreme hunger,unexplained weight loss
Migraine,headache,sensitivity to light,,
Common Cold,,headache,,congestion
Gastroenteritis,,stomach pain,nausea,
Common Cold,,,sore throat,fatigue
Malaria,fever,sweating,,
Viral Fever,,fatigue,,body ache
Viral Fever,muscle ache,sweating,,body ache
Viral Fever,body ache,unexplained weight loss,sweating,fever
Acid Peptic Disease,sweating,loss of appetite,vomiting,stomach pain
Typhoid,high fever,diarrhea,headache,loss of appetite
Pneumonia,fever,cough,chest pain,difficulty breathing
Hypertension,headache,chest pain,,
Viral Fever,,chills,mild cough,sweating
Hypertension,chest pain,,nosebleeds,headache
Allergy,sneezing,cough,,
Anemia,,,pale skin,cold hands and feet
Asthma,wheezing,shortness of breath,fatigue,chest pain
COVID-19,cough,muscle pain,fever,difficulty breathing
Diabetes,frequent urination,,blurred vision,increased thirst
Viral Fever,chills,,sweating,
Typhoid,weakness,stomach pain,,rash
Anemia,cold hands and feet,weakness,dizziness,fatigue
Common Cold,cough,,,headache
Dengue,,severe headache,rash,joint pain
Asthma,fatigue,shortness of breath,difficulty breathing,wheezing
Gastroenteritis,fever,,,muscle ache
Allergy,shortness of breath,sneezing,itchy eyes,rash
Anemia,fatigue,dizziness,,headache
Hypertension,shortness of breath,nosebleeds,chest pain,
Acid Peptic Disease,,heartburn,indigestion,nausea
Asthma,cough,chest pain,fatigue,
Gastroenteritis,diarrhea,muscle ache,,
Dengue,nausea,,joint pain,muscle pain
Anemia,,,fatigue,cold hands and feet
COVID-19,fever,fatigue,muscle pain,loss of taste
Typhoid,diarrhea,stomach pain,high fever,
Malaria,headache,vomiting,muscle pain,sweating
Malaria,headache,,vomiting,
Migraine,vomiting,nausea,,
Asthma,,wheezing,,fatigue
Migraine,,sensitivity to sound,headache,dizziness
Migraine,,sensitivity to sound,vomiting,
Common Cold,,headache,,cough
Anemia,chest pain,weakness,pale skin,dizziness
Asthma,wheezing,fatigue,,cough
Common Cold,congestion,,fatigue,sore throat
Acid Peptic Disease,sensitivity to sound,stomach pain,indigestion,vomiting
Malaria,,vomiting,headache,sweating
Malaria,muscle pain,headache,fever,chills
Pneumonia,sweating,,cough,fatigue
Pneumonia,fever,fatigue,chills,cough
Typhoid,rash,stomach pain,diarrhea,headache
Hypertension,nosebleeds,,,chest pain
Allergy,,rash,,sneezing
Migraine,vomiting,,,dizziness
Typhoid,headache,weakness,rash,diarrhea
Hypertension,blurred vision,headache,shortness of breath,nosebleeds
Malaria,,,sweating,nausea
Asthma,shortness of breath,,,fatigue
Allergy,,runny nose,cough,
Migraine,vomiting,,,sensitivity to light
COVID-19,difficulty breathing,cough,,fatigue
Anemia,cold hands and feet,headache,pale skin,fatigue
Malaria,sweating,fever,nausea,chills
Allergy,shortness of breath,,rash,
Acid Peptic Disease,,loss of appetite,nausea,
Diabetes,extreme hunger,increased thirst,fatigue,
Diabetes,fatigue,,,blurred vision
Common Cold,sore throat,headache,fatigue,runny nose
Malaria,fever,chills,muscle pain,
Pneumonia,chest pain,fever,fatigue,difficulty breathing
Gastroenteritis,,stomach pain,,nausea
Typhoid,,high fever,rash,diarrhea
Pneumonia,difficulty breathing,,chills,fever
Acid Peptic Disease,heartburn,loss of appetite,indigestion,vomiting
COVID-19,muscle pain,loss of smell,,
Anemia,fatigue,cold hands and feet,pale skin,chest pain
Allergy,runny nose,shortness of breath,rash,
Migraine,sensitivity to sound,dizziness,blurred vision,headache
COVID-19,fatigue,,,fever
Hypertension,shortness of breath,dizziness,nosebleeds,headache
Migraine,,vomiting,nausea,
Malaria,vomiting,sweating,chills,muscle pain
Pneumonia,chest pain,difficulty breathing,chills,
Migraine,nausea,sensitivity to light,,sensitivity to sound
Pneumonia,,sweating,,cough
Dengue,,vomiting,,rash
Viral Fever,,,mild cough,fever
Typhoid,headache,diarrhea,stomach pain,weakness
COVID-19,,loss of taste,muscle pain,
Hypertension,dizziness,shortness of breath,nosebleeds,
Pneumonia,chills,frequent urination,fatigue,cough
Acid Peptic Disease,,,heartburn,stomach pain
Diabetes,extreme hunger,frequent urination,,
Anemia,weakness,chest pain,,cold hands and feet
Asthma,,difficulty breathing,cough,
Typhoid,,stomach pain,high fever,weakness
Allergy,itchy eyes,shortness of breath,rash,
Hypertension,,,nosebleeds,dizziness
Acid Peptic Disease,,,vomiting,stomach pain
Pneumonia,chills,fatigue,,difficulty breathing
COVID-19,,fatigue,difficulty breathing,sneezing
Malaria,headache,chills,,
Anemia,pale skin,,cold hands and feet,headache
Pneumonia,fever,fatigue,,chills
Pneumonia,difficulty breathing,sweating,fever,sensitivity to light
Viral Fever,body ache,headache,fatigue,mild cough
Asthma,wheezing,chest pain,fatigue,shortness of breath
Pneumonia,chills,difficulty breathing,,sweating
Diabetes,frequent urination,extreme hunger,blurred vision,fatigue
Dengue,,nausea,vomiting,
COVID-19,fever,fatigue,cough,
Diabetes,,extreme hunger,fatigue,
Diabetes,frequent urination,fatigue,unexplained weight loss,
Dengue,vomiting,severe headache,rash,nausea
Dengue,severe headache,rash,high fever,vomiting
Migraine,,dizziness,sensitivity to sound,blurred vision
Diabetes,frequent urination,extreme hunger,,increased thirst
Dengue,vomiting,high fever,severe headache,nausea
Viral Fever,headache,mild cough,body ache,chills
Malaria,sweating,fever,vomiting,muscle pain
Malaria,,headache,nausea,muscle pain
Pneumonia,sweating,chest pain,,chills
Common Cold,sneezing,,cough,
Common Cold,sneezing,cough,sore throat,congestion
Diabetes,blurred vision,,,fatigue
Common Cold,congestion,sneezing,sore throat,cough
Anemia,,headache,weakness,fatigue
Asthma,,wheezing,,cough
Viral Fever,body ache,,fatigue,chills
Allergy,itchy eyes,,rash,shortness of breath
Diabetes,frequent urination,,unexplained weight loss,extreme hunger
Malaria,sweating,muscle pain,nausea,chills
Malaria,headache,sweating,fever,chills
Typhoid,headache,weakness,high fever,stomach pain
Anemia,chest pain,fatigue,weakness,pale skin
Allergy,,,sneezing,cough
Acid Peptic Disease,stomach pain,nausea,indigestion,heartburn
Common Cold,,cough,,sore throat
Allergy,shortness of breath,runny nose,itchy eyes,cough
Diabetes,frequent urination,,,extreme hunger
Migraine,nausea,dizziness,headache,vomiting
Diabetes,fatigue,frequent urination,unexplained weight loss,
Dengue,rash,,vomiting,nausea
Hypertension,nosebleeds,chest pain,headache,shortness of breath
Acid Peptic Disease,heartburn,loss of appetite,,stomach pain
Diabetes,,fatigue,frequent urination,extreme hunger
Hypertension,nosebleeds,chest pain,dizziness,blurred vision
Gastroenteritis,diarrhea,,fever,muscle ache
Allergy,sneezing,runny nose,,itchy eyes
Anemia,fatigue,,cold hands and feet,
Anemia,,weakness,,dizziness
Migraine,sensitivity to light,sensitivity to sound,,dizziness
Diabetes,increased thirst,frequent urination,fatigue,
Hypertension,dizziness,chest pain,nosebleeds,blurred vision
Diabetes,increased thirst,,extreme hunger,blurred vision
Acid Peptic Disease,stomach pain,indigestion,,heartburn
Typhoid,stomach pain,headache,diarrhea,
Gastroenteritis,mild cough,nausea,stomach pain,diarrhea
Gastroenteritis,diarrhea,,,nausea
Hypertension,blurred vision,chest pain,nosebleeds,shortness of breath
Typhoid,headache,diarrhea,,
Viral Fever,body ache,fatigue,fever,sweating
Common Cold,congestion,fatigue,cough,runny nose
Pneumonia,chest pain,fatigue,cough,
Anemia,fatigue,,pale skin,dizziness
Anemia,fatigue,,cold hands and feet,headache
Anemia,cold hands and feet,,chest pain,weakness
Asthma,wheezing,,fatigue,cough
Malaria,nausea,chills,muscle pain,
Viral Fever,headache,chills,fever,mild cough
Pneumonia,difficulty breathing,fatigue,chills,
Common Cold,runny nose,fatigue,cough,congestion
Malaria,nausea,,chills,headache
Allergy,,cough,itchy eyes,
Allergy,shortness of breath,runny nose,,rash
Allergy,itchy eyes,shortness of breath,sneezing,runny nose
Migraine,dizziness,vomiting,sensitivity to sound,headache
Migraine,blurred vision,sensitivity to light,,nausea
Viral Fever,,,fatigue,chills
Gastroenteritis,shortness of breath,,fever,nausea
Allergy,rash,shortness of breath,cough,sneezing
Asthma,,,shortness of breath,chest pain
COVID-19,dizziness,muscle pain,fatigue,fever
Migraine,vomiting,headache,,
Allergy,itchy eyes,cough,shortness of breath,runny nose
Hypertension,chest pain,headache,nosebleeds,blurred vision
Dengue,joint pain,high fever,,rash
Common Cold,cough,sneezing,runny nose,sore throat
Common Cold,runny nose,sneezing,cough,
Malaria,headache,vomiting,,chills
Pneumonia,chest pain,,cough,sweating
Hypertension,,shortness of breath,blurred vision,chest pain
Common Cold,congestion,fatigue,,
Allergy,cough,itchy eyes,shortness of breath,sneezing
Hypertension,shortness of breath,blurred vision,chest pain,nosebleeds
Anemia,,headache,,dizziness
Malaria,,,vomiting,sweating
Acid Peptic Disease,nausea,indigestion,heartburn,nosebleeds
Malaria,,headache,muscle pain,
Acid Peptic Disease,,nausea,heartburn,
Dengue,rash,,extreme hunger,nausea
Diabetes,,fatigue,,extreme hunger
Acid Peptic Disease,indigestion,loss of appetite,nausea,stomach pain
Acid Peptic Disease,heartburn,,indigestion,stomach pain
Dengue,high fever,muscle pain,severe headache,rash
Diabetes,fatigue,increased thirst,unexplained weight loss,frequent urination
Allergy,cough,itchy eyes,rash,runny nose
Anemia,,,weakness,cold hands and feet
Acid Peptic Disease,,stomach pain,indigestion,
Pneumonia,,,fatigue,chills
Malaria,vomiting,sweating,muscle pain,nausea
Malaria,sweating,muscle pain,vomiting,
Malaria,sweating,vomiting,,headache
Asthma,difficulty breathing,,cough,chest pain
Asthma,difficulty breathing,wheezing,shortness of breath,chest pain
Gastroenteritis,,headache,stomach pain,
Asthma,difficulty breathing,,shortness of breath,cough
Acid Peptic Disease,heartburn,indigestion,stomach pain,nausea
Migraine,sensitivity to sound,headache,,frequent urination
Viral Fever,body ache,chills,fatigue,sweating
Dengue,,,high fever,rash
Gastroenteritis,,diarrhea,vomiting,headache
Viral Fever,body ache,sweating,mild cough,
Viral Fever,body ache,chills,sweating,fatigue
Migraine,dizziness,headache,sensitivity to sound,sensitivity to light
Viral Fever,fever,,,mild cough
Viral Fever,mild cough,headache,,
COVID-19,,fatigue,fever,muscle pain
Hypertension,,shortness of breath,blurred vision,
Typhoid,,loss of appetite,stomach pain,
Asthma,,difficulty breathing,,chest pain
Asthma,fatigue,chest pain,cough,wheezing
Migraine,blurred vision,sensitivity to sound,sensitivity to light,headache
Pneumonia,chills,sweating,fatigue,cough
Anemia,,headache,,dizziness
Hypertension,blurred vision,,shortness of breath,chest pain
Typhoid,stomach pain,,loss of appetite,diarrhea
Asthma,cough,shortness of breath,,wheezing
Hypertension,headache,dizziness,chest pain,blurred vision
Dengue,severe headache,,nausea,
COVID-19,cough,fever,muscle pain,fatigue
Hypertension,,blurred vision,nosebleeds,headache
Common Cold,headache,sore throat,,
Typhoid,weakness,,rash,stomach pain
Gastroenteritis,fever,nausea,,
Allergy,runny nose,,sneezing,cough
Migraine,,sensitivity to light,,vomiting
Pneumonia,chest pain,difficulty breathing,chills,
Acid Peptic Disease,stomach pain,nausea,,vomiting
Anemia,cold hands and feet,dizziness,,
Common Cold,headache,fatigue,sore throat,sneezing
Allergy,,,cough,shortness of breath
Common Cold,runny nose,,,congestion
Migraine,headache,dizziness,nausea,blurred vision
Viral Fever,mild cough,fever,fatigue,
Anemia,dizziness,headache,,chest pain
Diabetes,extreme hunger,fatigue,,blurred vision
Common Cold,congestion,fatigue,runny nose,sore throat
Hypertension,nosebleeds,dizziness,blurred vision,
Hypertension,headache,,nosebleeds,chest pain
Dengue,weakness,nausea,high fever,
Migraine,headache,nausea,blurred vision,vomiting
Common Cold,,congestion,sore throat,runny nose
Anemia,fever,dizziness,fatigue,pale skin
Typhoid,,headache,high fever,stomach pain
